Date,ABG,ANG,APN,ARI,CLH,CLS,CPI,DSY,FBR,IMP,MTN,NED,NPN,REM,SOL,WHI,DSY,BTI,FSR,SBK
12/11/2006,4635.401855,27200.76758,2829.678467,3699.17041,817.776978,729.463257,2151.210938,1923.819336,891.059753,11432.43457,3889.149414,5718.148438,8273.685547,2074.455811,15441.51074,790.264099,1923.819336,9483.226563,696.368835,4213.583008
12/12/2006,4645.523926,26607.29883,2829.678467,3720.678467,817.776978,746.81488,2186.554443,1916.108398,884.12561,11148.88086,3924.570068,5535.168945,8161.502441,2061.174561,15012.15918,786.01532,1916.108398,9422.511719,693.871643,4165.628418
12/13/2006,4756.85498,26623.77734,2852.288086,3764.121338,817.776978,749.591248,2209.663574,1923.819336,901.461182,10994.85645,3952.291504,5544.316895,8273.685547,2057.379639,14839.57422,781.766846,1923.819336,9405.165039,713.136047,4214.067871
12/14/2006,4756.85498,26860.34375,2804.459961,4043.279785,841.63446,742.650452,2263.359131,1950.806885,901.461182,11358.32129,4016.973877,5601.499512,8188.986816,2077.618408,14891.04297,806.786987,1950.806885,9497.686523,728.832764,4238.285156
12/15/2006,4789.243164,26788.63086,2768.806152,3862.623291,845.610779,749.591248,2249.764648,2017.118042,911.862793,11445.32324,4081.143066,5704.425293,8301.734375,2049.157715,15351.28418,803.010315,2017.118042,9367.579102,738.465027,4267.348145
12/18/2006,4807.459473,26747.41406,2808.808105,3952.951172,881.26416,756.531738,2302.780518,2027.913574,922.264221,11419.54785,4235.148926,5832.51123,8441.969727,2125.052979,15078.77344,816.22876,2027.913574,9714.525391,742.032288,4335.160156
12/19/2006,4817.580078,26543.00391,2782.719971,3957.253662,872.781494,742.650452,2270.155762,2047.189941,967.337158,11277.76758,4106.810547,5825.649902,8329.78125,2140.864014,14930.40723,811.507874,2047.189941,9786.806641,734.897278,4310.942383
12/20/2006,4918.791016,26607.29883,2808.808105,4146.512695,873.311707,755.837769,2270.155762,2097.30957,967.337158,11342.21191,4158.145508,5960.599609,8693.823242,2163.252686,15227.14356,819.061035,2097.30957,9889.15332,767.71814,4417.020508
12/21/2006,5019.999512,26747.41406,2800.111816,4193.828613,861.515564,773.189331,2290.546631,2051.045166,953.468628,11857.76856,4363.485352,6212.195313,9143.126953,2213.596436,15623.79004,847.385803,2051.045166,10119.2959,797.328186,4580.254395
12/22/2006,5020.404297,26248.74023,2808.808105,4258.348145,864.166382,763.472412,2310.937256,2070.322754,950.001587,11761.10156,4384.019531,6132.143066,9087.032227,2238.768066,15278.61133,845.025574,2070.322754,10234.37207,804.463074,4601.566406
12/27/2006,5107.040527,27209.01563,2841.853027,4344.375488,868.142639,763.472412,2338.124512,2096.538574,950.001587,11851.32422,4463.589355,6187.037109,9198.65625,2266.723145,15683.13574,849.746216,2096.538574,10362.16309,804.106323,4625.787109
12/28/2006,5062.507324,27529.64844,2824.460449,4301.362305,874.769714,763.472412,2355.116455,2074.178223,946.534363,11841.65918,4362.972168,6118.418457,9227.266602,2244.58667,15684.34375,852.106689,2074.178223,10260.96484,795.54425,4577.348145
12/29/2006,5064.531738,27199.94141,2821.851807,4344.375488,882.191956,763.472412,2446.874512,2074.178223,953.468628,11857.76856,4378.886719,6106.982422,9311.40625,2251.670166,15671.62793,849.746216,2074.178223,10293.34961,791.976868,4577.348145
