ABG,ANG,ANH,ARI,CLH,FBR,MSM,MTN,NPN,SOL
Date,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close
2018/12/14,12716.27441,16099.26758,101157.8047,9518.083984,2343.044189,9772.8125,9631.547852,7417.54834,175840.8906,40410.30469
2018/12/18,12385.37598,16586.52539,99103.25,9737.419922,2262.388672,9368.177734,9792.646484,7255.415527,176168.4531,38456.86719
2018/12/19,12794.98438,16914.50391,98178.75,9790.507813,2307.709717,9461.02832,9823.098633,7390.8125,175948.8281,39328.9375
2018/12/20,12688.16504,16955.0293,97315.8125,9580.251953,2342.852051,9139.470703,10066.71094,7283.012207,174854.4688,38880.17188
2018/12/21,12414.28906,16608.20313,99301.85156,9418.893555,2304.444824,9210.819336,9715.043945,7216.607422,179692.4219,38778.35547
2018/12/24,12431.15723,17341.44141,98476.64844,9688.523438,2304.444824,9343.742188,9604.042969,7373.564941,184453.0313,39785.24219
2018/12/27,12538.77832,17218.91992,94996.125,9467.790039,2308.285645,9326.149414,9641.371094,7571.056152,178862.5938,39582.54688
2018/12/28,12789.36133,17043.62109,95752.80469,9670.363281,2381.259766,9512.829102,10117.79102,7594.341309,180940.2813,40232.12109
2018/12/31,12996.57324,17129.38281,94929.57813,9943.484375,2422.355713,9552.902344,10168.87109,7675.406738,180458,40068.07813
2019/01/02,12673.70801,17186.87695,93386.44531,9318.305664,2438.87085,9600.792969,9714.061523,7502.925293,173765.7031,39351.56641
2019/01/03,12747.59766,17935.19727,94649.57031,9409.114258,2343.044189,9773.789063,9823.098633,7450.319824,174015.2656,40430.10156
2019/01/04,12862.44824,17216.0918,94908.74219,9374.188477,2366.856934,9773.789063,9922.311523,7527.936035,178039.625,40700.67969
2019/01/07,13066.44824,17057.75586,94677.35938,9488.046875,2328.449463,9766.948242,9950.798828,7545.183594,176061.7656,40071.84766
2019/01/08,13222.25879,16155.81641,97753.72656,9337.166016,2376.074951,9523.581055,10198.34082,7459.805664,176915.3125,40609.23047
2019/01/09,13211.81738,16634.58984,96837.17969,9476.87207,2381.259766,9760.106445,10427.21875,7524.485352,185495.6094,41953.63281
2019/01/10,13449.55176,16705.27344,96124.20313,9306.430664,2340.355713,9773.789063,10829.96582,7464.97998,184319.5,41854.64063
2019/01/11,13617.4082,16759.9375,99755.67188,9620.767578,2374.34668,9612.522461,11007.76367,7458.942871,186228.1094,42236.46484
2019/01/14,13573.23438,16681.71289,99906.60156,9583.745117,2386.444824,9772.8125,11213.06641,7370.115234,184650.7969,41777.33203
2019/01/15,13733.86621,16344.30762,99544.14063,9639.626953,2400.463379,9715.146484,11357.46582,7377.014648,186161.9688,41444.53125
2019/01/16,14111.3457,16112.46094,96241.36719,9611.685547,2419.667236,9635.000977,11415.42285,7416.685547,189808.8438,39221.46094
2019/01/17,13994.08691,16572.38867,97714.03125,9658.487305,2426.9646,9758.151367,10931.14356,7330.445313,189908.6875,39214.86328
2019/01/18,14022.19629,15985.22852,100294.8672,9800.287109,2435.990479,9759.128906,10918.37402,7371.840332,191080.4219,39485.4375
2019/01/21,13990.06934,15646.88184,100662.2969,9568.37793,2412.753906,9678.005859,11266.11133,7373.564941,197465.125,39678.70703
2019/01/22,14010.14941,16021.9834,100791.375,9562.789063,2400.463379,9699.508789,8904.638672,7429.621582,196539.8281,39879.51953
2019/01/23,14009.3457,16248.17676,101387.1953,9709.479492,2359.559814,9627.182617,9271.040039,7468.429688,190299.2656,39503.35156
2019/01/24,14095.2832,16579.92578,101310.7422,9884.110352,2337.091064,9627.182617,9248.447266,7245.067383,189051.4063,38689.73438
2019/01/25,14456.7002,16922.04297,100692.0703,9985.395508,2348.613525,9099.398438,9187.543945,7175.211914,189675.3281,39697.5625
2019/01/28,14104.11719,17380.08398,99300.85156,10157.93262,2352.454102,9016.320313,9223.889648,7249.378906,188115.5,39295
2019/01/29,14961.08008,17432.85938,100242.2422,10146.75488,2326.721436,8962.564453,9332.925781,7373.564941,192451.2188,39208.26172
2019/01/30,14883.97656,17791.94141,101127.0234,10245.24805,2360.903564,8633.1875,8992.064453,7345.968262,188649.5938,39125.29688
2019/01/31,14841.4082,17622.29688,99994.98438,10347.23145,2342.852051,8747.541992,9037.25,7505.513672,189675.3281,37750.72656
2019/02/01,14689.61426,17905.98047,101824.1094,10290.65137,2362.056152,8845.279297,9037.25,7597.791016,183747.9844,37569.71484
2019/02/04,14081.62891,16996.49805,102380.2031,10338.15137,2371.657959,8923.469727,8945.895508,7404.611328,184371.9219,37899.68359
2019/02/05,14107.3291,17189.70313,104370.2109,10474.36231,2417.746826,9314.420898,8924.285156,7552.945801,189383.9688,39485.4375
2019/02/06,14203.70703,17283.95117,105905.4297,10565.17188,2409.297119,9599.816406,8774.973633,7556.395508,192905.4219,39940.79688
2019/02/07,14095.2832,17539.35938,103770.4375,10617.56055,2314.046631,9353.516602,8644.326172,7390.8125,189612.9375,38796.26563
2019/02/08,14133.83398,17247.19531,102583.7891,11154.72461,2224.94165,9298.783203,8600.12207,7330.445313,186555.6875,36276.22266
2019/02/11,14039.0625,17120.90234,104266.9453,10845.27832,2238.192139,8796.411133,8609.945313,7367.528809,189052.0313,36131.03516
2019/02/12,14369.96094,17412.12695,103556.9375,10718.14746,2271.030518,8845.279297,8773.991211,7468.429688,191235.1563,36777.77734
2019/02/13,14818.11914,17484.69727,108239.0234,10966.82129,2266.037598,8796.411133,8840.788086,7373.564941,187803.5469,38833.03516
2019/02/14,14296.875,17942.73828,107518.0938,11026.89551,2179.621094,8887.306641,8791.672852,7414.097656,191515.3125,38096.72656
2019/02/15,13972.40137,18180.24023,108204.25,10722.33789,2263.349121,8796.411133,8970.453125,7278.700684,190669.875,38286.22656
2019/02/18,14027.81836,18548.74609,108714.6719,10708.36816,2323.648438,9262.620117,9037.25,7408.924316,194354.8125,38889.60156
2019/02/19,13672.02441,18734.41406,107768.3203,10547.70703,2342.660645,8879.488281,8742.557617,7433.933105,193918.0781,39031.01953
2019/02/20,13717,20828.58008,108285.7031,10968.91797,2365.70459,8875.578125,8597.175781,7489.989746,196517.375,39172.43359
2019/02/21,14218.16406,20122.66992,108249.9453,11722.62598,2362.056152,8807.162109,8530.378906,7343.380859,193418.9063,38812.29297
2019/02/22,14235.83398,19515.7207,103725.75,11668.83789,2438.486816,8512.970703,8741.575195,7495.165039,195779.25,39076.27344
2019/02/25,14523.36328,18948.35352,103413.9453,11415.97266,2396.622803,8474.853516,8919.373047,7385.63916,195610.7969,38936.74219
2019/02/26,14697.64648,18937.98633,102730.7578,11447.40625,2405.264404,8210.959961,9135.481445,7287.325195,196043.1875,39431.70313
2019/02/27,14641.42481,19133.07617,103166.6875,11795.27148,2400.655518,8708.446289,9145.304688,7281.288086,194141.0625,40189.69141
2019/02/28,14504.89063,19038.83008,108698.7891,11719.13184,2415.634521,8796.411133,8556.900391,7202.809082,195967.9219,40528.15234
